75	infeas	5.964094	0.0	infeas	4.479319	0.0
76	infeas	6.516009	0.0	infeas	4.697286	0.0
77	infeas	7.410873	0.0	infeas	5.253202	0.0
78	infeas	6.349035	0.0	infeas	4.577304	0.0
79	infeas	6.392028	0.0	infeas	4.563307	0.0
80	infeas	6.068077	0.0	infeas	4.291347	0.0
81	infeas	7.045929	0.0	infeas	5.108224	0.0
82	infeas	7.418872	0.0	infeas	5.248202	0.0
83	infeas	6.917948	0.0	infeas	4.940249	0.0
84	infeas	7.077924	0.0	infeas	5.043233	0.0
85	infeas	7.543854	0.0	infeas	5.386181	0.0
86	infeas	7.620841	0.0	infeas	5.595150	0.0
87	infeas	6.189059	0.0	infeas	4.497316	0.0
88	infeas	6.005088	0.0	infeas	4.336340	0.0
89	infeas	6.262048	0.0	infeas	4.494317	0.0
90	infeas	6.300042	0.0	infeas	4.551308	0.0
91	infeas	6.634992	0.0	infeas	4.757277	0.0
92	infeas	7.216902	0.0	infeas	5.114222	0.0
93	infeas	6.907951	0.0	infeas	5.037233	0.0
94	infeas	5.853111	0.0	infeas	4.319343	0.0
95	infeas	7.534855	0.0	infeas	5.396179	0.0
96	infeas	4.671290	0.0	infeas	3.454475	0.0
97	infeas	5.078228	0.0	infeas	3.669443	0.0
98	infeas	7.255896	0.0	infeas	5.129221	0.0
99	infeas	6.900951	0.0	infeas	4.922251	0.0
100	infeas	6.431022	0.0	infeas	4.696286	0.0
101	infeas	6.111072	0.0	infeas	4.443324	0.0
102	infeas	4.743279	0.0	infeas	3.459474	0.0
103	infeas	5.276198	0.0	infeas	3.821419	0.0
104	infeas	6.249050	0.0	infeas	4.529312	0.0
105	infeas	5.513161	0.0	infeas	4.019390	0.0
106	infeas	6.694982	0.0	infeas	4.834264	0.0
107	infeas	5.056232	0.0	infeas	3.721434	0.0
108	infeas	6.630992	0.0	infeas	4.746279	0.0
109	infeas	5.994088	0.0	infeas	4.407330	0.0
110	infeas	5.931098	0.0	infeas	4.315344	0.0
111	infeas	8.308737	0.0	infeas	5.683136	0.0
112	infeas	6.079076	0.0	infeas	4.345339	0.0
113	infeas	6.767972	0.0	infeas	4.913253	0.0
114	infeas	7.331885	0.0	infeas	5.370184	0.0
115	infeas	7.442869	0.0	infeas	5.398178	0.0
116	infeas	6.743976	0.0	infeas	4.909253	0.0
117	infeas	7.086923	0.0	infeas	5.054232	0.0
118	infeas	6.466016	0.0	infeas	4.676289	0.0
119	infeas	7.218903	0.0	infeas	5.186212	0.0
120	infeas	6.901951	0.0	infeas	4.978242	0.0
121	infeas	5.448173	0.0	infeas	3.898406	0.0
122	infeas	4.900255	0.0	infeas	3.541462	0.0
123	infeas	6.995937	0.0	infeas	5.119222	0.0
124	infeas	4.850262	0.0	infeas	3.448476	0.0
125	infeas	6.160064	0.0	infeas	4.385333	0.0
126	infeas	6.551004	0.0	infeas	4.726282	0.0
127	infeas	7.247897	0.0	infeas	5.222207	0.0
128	infeas	6.194058	0.0	infeas	4.393332	0.0
129	infeas	5.727129	0.0	infeas	4.143371	0.0
130	infeas	7.307888	0.0	infeas	5.228206	0.0
131	infeas	6.423023	0.0	infeas	4.632296	0.0
132	infeas	6.634991	0.0	infeas	4.772275	0.0
133	infeas	6.823962	0.0	infeas	4.986243	0.0
134	infeas	6.149065	0.0	infeas	4.323342	0.0
135	infeas	7.173910	0.0	infeas	5.034235	0.0
136	infeas	5.024236	0.0	infeas	3.639446	0.0
137	infeas	5.380183	0.0	infeas	3.887408	0.0
138	infeas	5.848111	0.0	infeas	4.206361	0.0
139	infeas	5.292196	0.0	infeas	3.770427	0.0
140	infeas	7.097921	0.0	infeas	5.194210	0.0
141	infeas	7.181908	0.0	infeas	5.118222	0.0
142	infeas	5.456170	0.0	infeas	4.011390	0.0
143	infeas	7.333886	0.0	infeas	5.498164	0.0
144	infeas	6.759973	0.0	infeas	5.010237	0.0
145	infeas	5.448172	0.0	infeas	3.883410	0.0
146	infeas	6.831961	0.0	infeas	4.998240	0.0
147	infeas	6.562002	0.0	infeas	4.683289	0.0
148	infeas	6.501012	0.0	infeas	4.604300	0.0
149	infeas	7.515857	0.0	infeas	5.348187	0.0
150	infeas	5.801118	0.0	infeas	4.098377	0.0
151	infeas	6.312041	0.0	infeas	4.496316	0.0
152	infeas	5.935098	0.0	infeas	4.286348	0.0
153	infeas	7.014933	0.0	infeas	5.149218	0.0
154	infeas	5.636142	0.0	infeas	4.002392	0.0
155	infeas	7.841809	0.0	infeas	5.569153	0.0
156	infeas	6.025083	0.0	infeas	4.418329	0.0
157	infeas	6.518009	0.0	infeas	4.643294	0.0
158	infeas	6.881954	0.0	infeas	5.011238	0.0
159	infeas	6.580000	0.0	infeas	4.631296	0.0
160	infeas	6.438021	0.0	infeas	4.708285	0.0
161	infeas	7.191905	0.0	infeas	5.149218	0.0
162	infeas	6.347035	0.0	infeas	4.595302	0.0
163	infeas	5.103224	0.0	infeas	3.750430	0.0
164	infeas	6.563002	0.0	infeas	4.923252	0.0
165	infeas	6.383029	0.0	infeas	4.698286	0.0
166	infeas	6.584999	0.0	infeas	4.657292	0.0
167	infeas	6.467017	0.0	infeas	4.582304	0.0
168	infeas	7.034929	0.0	infeas	4.933251	0.0
169	infeas	7.273894	0.0	infeas	5.133219	0.0
170	infeas	6.995937	0.0	infeas	5.018237	0.0
171	infeas	5.852111	0.0	infeas	4.315343	0.0
172	infeas	5.445173	0.0	infeas	3.938401	0.0
173	infeas	7.450868	0.0	infeas	5.506162	0.0
174	infeas	8.912645	0.0	infeas	6.235052	0.0
175	infeas	6.918949	0.0	infeas	4.962245	0.0
176	infeas	7.369880	0.0	infeas	5.225206	0.0
177	infeas	7.011933	0.0	infeas	4.887257	0.0
178	infeas	7.219903	0.0	infeas	5.086227	0.0
179	infeas	6.050079	0.0	infeas	4.302347	0.0
180	infeas	5.127220	0.0	infeas	3.817420	0.0
181	infeas	6.408026	0.0	infeas	4.512314	0.0
182	infeas	6.795966	0.0	infeas	4.969246	0.0
183	infeas	8.117765	0.0	infeas	5.793119	0.0
184	infeas	7.830810	0.0	infeas	5.463169	0.0
185	infeas	6.033083	0.0	infeas	4.204361	0.0
186	infeas	6.714980	0.0	infeas	4.718282	0.0
187	infeas	6.635992	0.0	infeas	4.785272	0.0
188	infeas	6.746974	0.0	infeas	4.694287	0.0
189	infeas	8.205752	0.0	infeas	5.821115	0.0
190	infeas	6.320040	0.0	infeas	4.491316	0.0
191	infeas	5.309194	0.0	infeas	3.864412	0.0
192	infeas	5.903102	0.0	infeas	4.232357	0.0
193	infeas	7.937793	0.0	infeas	5.648142	0.0
194	infeas	7.401874	0.0	infeas	5.184213	0.0
195	infeas	6.205056	0.0	infeas	4.395331	0.0
196	infeas	6.786969	0.0	infeas	4.861261	0.0
197	infeas	6.307041	0.0	infeas	4.584303	0.0
198	infeas	7.092922	0.0	infeas	5.015238	0.0
199	infeas	6.812964	0.0	infeas	4.731280	0.0
200	infeas	6.371032	0.0	infeas	4.403330	0.0
201	infeas	6.460019	0.0	infeas	4.616297	0.0
202	infeas	6.552005	0.0	infeas	4.639295	0.0
203	infeas	7.240899	0.0	infeas	5.069229	0.0
204	infeas	7.179908	0.0	infeas	5.058232	0.0
205	infeas	5.731129	0.0	infeas	4.136370	0.0
206	infeas	7.206905	0.0	infeas	5.200209	0.0
207	infeas	7.023932	0.0	infeas	5.033235	0.0
208	infeas	6.253050	0.0	infeas	4.433326	0.0
209	infeas	6.593997	0.0	infeas	4.694286	0.0
210	infeas	7.500860	0.0	infeas	5.289196	0.0
211	infeas	5.752126	0.0	infeas	4.179365	0.0
212	infeas	6.345034	0.0	infeas	4.545309	0.0
213	infeas	6.676985	0.0	infeas	4.785273	0.0
214	infeas	6.917949	0.0	infeas	4.826266	0.0
215	infeas	6.095073	0.0	infeas	4.450324	0.0
216	infeas	6.197057	0.0	infeas	4.447324	0.0
217	infeas	7.102920	0.0	infeas	5.066230	0.0
218	infeas	7.317888	0.0	infeas	5.333189	0.0
219	infeas	8.270743	0.0	infeas	5.790120	0.0
220	infeas	7.216903	0.0	infeas	5.151216	0.0
221	infeas	6.833962	0.0	infeas	4.938249	0.0
222	infeas	7.746822	0.0	infeas	5.536158	0.0
223	infeas	7.662836	0.0	infeas	5.484165	0.0
224	infeas	6.429024	0.0	infeas	4.613298	0.0
225	infeas	6.639991	0.0	infeas	4.624296	0.0
226	infeas	6.128069	0.0	infeas	4.547309	0.0
227	infeas	5.568153	0.0	infeas	3.963398	0.0
228	infeas	6.707980	0.0	infeas	4.735280	0.0
229	infeas	8.457714	0.0	infeas	6.126070	0.0
230	limit	1122.402368	0.0	limit	823.423820	0.0
231	infeas	7.046929	0.0	infeas	5.018238	0.0
232	infeas	7.989785	0.0	infeas	5.656140	0.0
233	infeas	6.807965	0.0	infeas	4.855262	0.0
234	infeas	7.813812	0.0	infeas	5.449172	0.0
235	infeas	5.918099	0.0	infeas	4.265353	0.0
236	infeas	7.782816	0.0	infeas	5.372184	0.0
237	infeas	6.839960	0.0	infeas	4.843264	0.0
238	infeas	4.860261	0.0	infeas	3.610451	0.0
239	infeas	6.569001	0.0	infeas	4.811269	0.0
240	infeas	6.546004	0.0	infeas	4.691287	0.0
241	infeas	6.092074	0.0	infeas	4.311344	0.0
242	infeas	5.380183	0.0	infeas	3.828418	0.0
243	infeas	6.725977	0.0	infeas	4.701285	0.0
244	infeas	6.957943	0.0	infeas	4.943248	0.0
245	infeas	5.036235	0.0	infeas	3.565458	0.0
246	infeas	7.136915	0.0	infeas	5.054231	0.0
247	infeas	5.450171	0.0	infeas	3.871413	0.0
248	infeas	5.243202	0.0	infeas	3.749431	0.0
249	infeas	8.379725	0.0	infeas	5.928099	0.0
250	infeas	6.057079	0.0	infeas	4.324343	0.0
251	infeas	7.231900	0.0	infeas	5.102225	0.0
252	infeas	7.802814	0.0	infeas	5.557155	0.0
253	infeas	6.873955	0.0	infeas	4.799270	0.0
254	infeas	7.617842	0.0	infeas	5.391180	0.0
255	infeas	6.314041	0.0	infeas	4.565306	0.0
256	infeas	6.448019	0.0	infeas	4.559307	0.0
257	infeas	5.655140	0.0	infeas	4.032387	0.0
258	infeas	5.412178	0.0	infeas	3.892408	0.0
259	infeas	6.746974	0.0	infeas	4.890257	0.0
260	infeas	7.460865	0.0	infeas	5.218207	0.0
261	infeas	6.951944	0.0	infeas	4.997240	0.0
262	infeas	6.135067	0.0	infeas	4.431327	0.0
263	infeas	7.360880	0.0	infeas	5.174214	0.0
264	infeas	7.847807	0.0	infeas	5.492165	0.0
265	infeas	7.000936	0.0	infeas	5.038233	0.0
266	infeas	6.898952	0.0	infeas	4.845263	0.0
267	infeas	6.939946	0.0	infeas	4.907254	0.0
268	infeas	7.751820	0.0	infeas	5.497165	0.0
269	infeas	6.351034	0.0	infeas	4.449324	0.0
270	infeas	6.306042	0.0	infeas	4.467320	0.0
271	infeas	6.584999	0.0	infeas	5.272199	0.0
272	infeas	7.397875	0.0	infeas	5.192211	0.0
273	infeas	7.345883	0.0	infeas	5.191211	0.0
274	infeas	7.127917	0.0	infeas	4.931249	0.0
275	infeas	5.951096	0.0	infeas	4.217359	0.0
276	infeas	7.204904	0.0	infeas	5.174214	0.0
277	infeas	7.240899	0.0	infeas	5.104224	0.0
278	infeas	7.422872	0.0	infeas	5.257200	0.0
279	infeas	7.940793	0.0	infeas	5.557155	0.0
280	infeas	7.305890	0.0	infeas	5.125221	0.0
281	infeas	6.765971	0.0	infeas	4.850263	0.0
282	infeas	6.036082	0.0	infeas	4.309345	0.0
283	infeas	6.579999	0.0	infeas	4.686289	0.0
284	infeas	6.484013	0.0	infeas	4.599301	0.0
285	infeas	5.951096	0.0	infeas	4.169366	0.0
286	infeas	6.426023	0.0	infeas	4.599300	0.0
287	infeas	6.237052	0.0	infeas	4.369336	0.0
288	infeas	7.576848	0.0	infeas	5.279197	0.0
289	infeas	5.622146	0.0	infeas	3.975396	0.0
290	infeas	5.837112	0.0	infeas	4.257353	0.0
291	infeas	7.870804	0.0	infeas	5.520161	0.0
292	infeas	8.411721	0.0	infeas	5.859109	0.0
293	infeas	7.813812	0.0	infeas	5.668139	0.0
294	infeas	6.577000	0.0	infeas	4.660291	0.0
295	infeas	7.096921	0.0	infeas	5.075229	0.0
296	infeas	5.252201	0.0	infeas	3.718435	0.0
297	infeas	6.636991	0.0	infeas	4.715283	0.0
298	infeas	6.946944	0.0	infeas	4.921252	0.0
299	infeas	5.913100	0.0	infeas	4.323343	0.0
300	infeas	7.568850	0.0	infeas	5.366184	0.0
301	infeas	5.738127	0.0	infeas	3.995394	0.0
302	infeas	6.572000	0.0	infeas	4.695287	0.0
303	infeas	6.168062	0.0	infeas	4.285348	0.0
304	infeas	8.418721	0.0	infeas	5.953094	0.0
305	infeas	6.395028	0.0	infeas	4.563306	0.0
306	infeas	5.552157	0.0	infeas	3.901406	0.0
307	infeas	5.147218	0.0	infeas	3.704437	0.0
308	infeas	5.188211	0.0	infeas	3.617450	0.0
309	infeas	6.374031	0.0	infeas	4.616298	0.0
310	infeas	5.798119	0.0	infeas	4.033387	0.0
311	infeas	5.568153	0.0	infeas	3.856414	0.0
312	infeas	7.450867	0.0	infeas	5.286196	0.0
313	infeas	7.152914	0.0	infeas	5.119221	0.0
314	infeas	5.719130	0.0	infeas	4.083379	0.0
315	infeas	6.150066	0.0	infeas	4.449324	0.0
316	infeas	5.709131	0.0	infeas	4.148370	0.0
317	infeas	7.347883	0.0	infeas	5.247203	0.0
318	infeas	5.904102	0.0	infeas	4.235355	0.0
319	infeas	6.332038	0.0	infeas	4.574305	0.0
320	infeas	8.463713	0.0	infeas	6.032083	0.0
321	infeas	5.789119	0.0	infeas	4.128374	0.0
322	infeas	5.968092	0.0	infeas	4.290348	0.0
323	infeas	4.986242	0.0	infeas	3.500467	0.0
324	infeas	6.509011	0.0	infeas	4.915253	0.0
325	infeas	6.443020	0.0	infeas	4.590303	0.0
326	infeas	7.051927	0.0	infeas	5.021237	0.0
327	infeas	7.018933	0.0	infeas	4.990241	0.0
328	infeas	8.149761	0.0	infeas	5.659140	0.0
329	infeas	6.559003	0.0	infeas	4.677289	0.0
330	infeas	4.908254	0.0	infeas	3.513465	0.0
331	infeas	5.953095	0.0	infeas	4.258353	0.0
332	infeas	6.215056	0.0	infeas	4.396331	0.0
333	infeas	4.974244	0.0	infeas	3.531463	0.0
334	infeas	6.028083	0.0	infeas	4.273351	0.0
335	infeas	5.398179	0.0	infeas	3.790424	0.0
336	infeas	6.606995	0.0	infeas	4.576305	0.0
337	infeas	6.298043	0.0	infeas	4.467320	0.0
338	infeas	5.560155	0.0	infeas	3.934402	0.0
339	infeas	7.485862	0.0	infeas	5.234204	0.0
340	infeas	6.684984	0.0	infeas	4.608300	0.0
341	infeas	6.240051	0.0	infeas	4.421328	0.0
342	infeas	5.696133	0.0	infeas	3.994393	0.0
343	infeas	7.560851	0.0	infeas	5.433174	0.0
344	infeas	7.642838	0.0	infeas	5.314192	0.0
345	infeas	7.075924	0.0	infeas	5.093226	0.0
346	infeas	6.555004	0.0	infeas	4.675289	0.0
347	infeas	6.567002	0.0	infeas	4.705284	0.0
348	infeas	6.811965	0.0	infeas	4.788272	0.0
349	infeas	6.821963	0.0	infeas	4.959246	0.0
350	infeas	7.715827	0.0	infeas	5.503163	0.0
351	infeas	6.080076	0.0	infeas	4.245355	0.0
352	infeas	7.500860	0.0	infeas	5.423175	0.0
353	infeas	6.367032	0.0	infeas	4.534311	0.0
354	infeas	6.152064	0.0	infeas	4.359338	0.0
355	infeas	6.273046	0.0	infeas	4.496317	0.0
356	infeas	6.952942	0.0	infeas	4.926251	0.0
357	infeas	5.568154	0.0	infeas	3.910406	0.0
358	infeas	5.872107	0.0	infeas	4.136371	0.0
359	infeas	5.242203	0.0	infeas	3.662443	0.0
360	infeas	6.097073	0.0	infeas	4.285349	0.0
361	infeas	6.425023	0.0	infeas	4.527312	0.0
362	infeas	6.806965	0.0	infeas	4.859261	0.0
363	infeas	4.088378	0.0	infeas	2.952552	0.0
364	infeas	7.362881	0.0	infeas	5.142218	0.0
365	infeas	4.993241	0.0	infeas	3.674441	0.0
366	infeas	7.797814	0.0	infeas	5.401179	0.0
367	infeas	6.509011	0.0	infeas	4.611299	0.0
368	infeas	5.984091	0.0	infeas	4.311344	0.0
369	infeas	8.780665	0.0	infeas	6.157064	0.0
370	infeas	7.389876	0.0	infeas	5.262201	0.0
371	infeas	5.926099	0.0	infeas	4.295347	0.0
372	infeas	7.833809	0.0	infeas	5.558155	0.0
373	infeas	7.678833	0.0	infeas	5.442172	0.0
374	infeas	6.341036	0.0	infeas	4.463322	0.0
375	infeas	6.457018	0.0	infeas	4.764275	0.0
376	infeas	7.328887	0.0	infeas	5.402179	0.0
377	infeas	6.082075	0.0	infeas	4.240355	0.0
378	infeas	7.239899	0.0	infeas	5.161216	0.0
379	infeas	7.264896	0.0	infeas	5.160215	0.0
380	infeas	5.039233	0.0	infeas	3.574457	0.0
381	infeas	6.408026	0.0	infeas	4.595302	0.0
382	infeas	6.148065	0.0	infeas	4.353338	0.0
383	infeas	5.923100	0.0	infeas	4.268351	0.0
384	infeas	6.240051	0.0	infeas	4.400332	0.0
385	infeas	7.051927	0.0	infeas	5.186212	0.0
386	infeas	6.344035	0.0	infeas	4.508315	0.0
387	infeas	8.049777	0.0	infeas	5.656139	0.0
388	infeas	6.980940	0.0	infeas	4.875258	0.0
389	infeas	6.416025	0.0	infeas	4.482319	0.0
390	infeas	6.935944	0.0	infeas	4.893257	0.0
391	infeas	6.869955	0.0	infeas	4.817269	0.0
392	infeas	7.724825	0.0	infeas	5.405178	0.0
393	infeas	6.268047	0.0	infeas	4.355338	0.0
394	infeas	7.858805	0.0	infeas	5.476168	0.0
395	infeas	6.471016	0.0	infeas	4.607300	0.0
396	infeas	5.129220	0.0	infeas	3.769427	0.0
397	infeas	5.764124	0.0	infeas	4.099377	0.0
398	infeas	7.076924	0.0	infeas	5.059231	0.0
399	infeas	6.231053	0.0	infeas	4.451323	0.0
400	infeas	4.860261	0.0	infeas	3.598452	0.0
401	infeas	6.778970	0.0	infeas	4.798270	0.0
402	infeas	7.887801	0.0	infeas	5.592151	0.0
403	infeas	9.105615	0.0	infeas	6.477015	0.0
404	infeas	7.381879	0.0	infeas	5.152216	0.0
405	infeas	6.780969	0.0	infeas	4.780274	0.0
406	infeas	8.045776	0.0	infeas	5.726130	0.0
407	infeas	5.750126	0.0	infeas	4.076380	0.0
408	infeas	6.498012	0.0	infeas	4.677289	0.0
409	infeas	6.703981	0.0	infeas	4.813268	0.0
410	infeas	8.355730	0.0	infeas	5.983090	0.0
411	infeas	6.767972	0.0	infeas	4.815267	0.0
412	infeas	6.859957	0.0	infeas	4.834266	0.0
413	infeas	8.015781	0.0	infeas	5.609147	0.0
414	infeas	6.822963	0.0	infeas	4.910254	0.0
415	infeas	7.635839	0.0	infeas	5.449171	0.0
416	infeas	5.760124	0.0	infeas	4.130373	0.0
417	infeas	7.132915	0.0	infeas	5.032235	0.0
418	infeas	6.645990	0.0	infeas	4.786273	0.0
419	infeas	6.848959	0.0	infeas	4.810268	0.0
420	infeas	8.386725	0.0	infeas	5.863109	0.0
421	infeas	5.625144	0.0	infeas	3.941402	0.0
422	infeas	6.883953	0.0	infeas	4.957246	0.0
423	infeas	6.909950	0.0	infeas	4.868259	0.0
424	infeas	7.467865	0.0	infeas	5.404178	0.0
425	infeas	7.101921	0.0	infeas	4.983242	0.0
426	infeas	8.673682	0.0	infeas	6.210056	0.0
427	infeas	6.049080	0.0	infeas	4.309345	0.0
428	infeas	5.562155	0.0	infeas	3.955398	0.0
429	infeas	5.900103	0.0	infeas	4.145370	0.0
430	infeas	6.377031	0.0	infeas	4.454323	0.0
431	infeas	7.028930	0.0	infeas	5.035236	0.0
432	infeas	6.316039	0.0	infeas	4.440325	0.0
433	infeas	7.178909	0.0	infeas	5.025236	0.0
434	infeas	5.788120	0.0	infeas	4.129372	0.0
435	infeas	7.088922	0.0	infeas	5.051232	0.0
436	infeas	8.876651	0.0	infeas	6.310041	0.0
437	infeas	7.692830	0.0	infeas	5.564154	0.0
438	infeas	6.432022	0.0	infeas	4.536311	0.0
439	infeas	7.030931	0.0	infeas	4.994241	0.0
440	infeas	6.954942	0.0	infeas	5.004240	0.0
441	infeas	6.647990	0.0	infeas	4.779273	0.0
442	infeas	6.501011	0.0	infeas	4.688287	0.0
443	infeas	6.020085	0.0	infeas	4.398332	0.0
444	infeas	7.514857	0.0	infeas	5.315192	0.0
445	infeas	8.183756	0.0	infeas	5.768123	0.0
446	infeas	7.681832	0.0	infeas	5.334189	0.0
447	infeas	7.136916	0.0	infeas	5.141218	0.0
448	infeas	7.177909	0.0	infeas	5.192210	0.0
449	infeas	4.595302	0.0	infeas	3.301498	0.0
450	infeas	6.329038	0.0	infeas	4.564306	0.0
451	infeas	7.398875	0.0	infeas	5.389180	0.0
452	infeas	4.225359	0.0	infeas	3.068533	0.0
453	infeas	6.670986	0.0	infeas	4.770275	0.0
454	infeas	4.712284	0.0	infeas	3.450475	0.0
455	infeas	8.357729	0.0	infeas	5.977091	0.0
456	infeas	8.404723	0.0	infeas	5.860109	0.0
457	infeas	5.168214	0.0	infeas	3.598453	0.0
458	infeas	6.484015	0.0	infeas	4.680289	0.0
459	infeas	6.767970	0.0	infeas	4.780273	0.0
460	infeas	7.416873	0.0	infeas	5.286196	0.0
461	infeas	7.754821	0.0	infeas	5.428175	0.0
462	infeas	6.537007	0.0	infeas	4.642294	0.0
463	infeas	5.221206	0.0	infeas	3.723434	0.0
464	infeas	7.749822	0.0	infeas	5.430174	0.0
465	infeas	7.285892	0.0	infeas	5.125222	0.0
466	infeas	6.144065	0.0	infeas	4.380334	0.0
467	infeas	7.031931	0.0	infeas	5.052233	0.0
468	infeas	6.929946	0.0	infeas	4.989241	0.0
469	infeas	5.297195	0.0	infeas	3.825419	0.0
470	infeas	6.093073	0.0	infeas	4.250354	0.0
471	infeas	6.355034	0.0	infeas	4.497317	0.0
472	infeas	7.436869	0.0	infeas	5.217207	0.0
473	infeas	6.517009	0.0	infeas	4.633296	0.0
474	infeas	6.144066	0.0	infeas	4.327342	0.0
475	infeas	6.552003	0.0	infeas	4.736281	0.0
476	infeas	6.915948	0.0	infeas	4.835265	0.0
477	infeas	6.756973	0.0	infeas	4.929250	0.0
478	infeas	5.766124	0.0	infeas	4.161368	0.0
479	infeas	5.739127	0.0	infeas	4.103376	0.0
480	infeas	6.926947	0.0	infeas	4.919252	0.0
481	infeas	7.749822	0.0	infeas	5.344188	0.0
482	infeas	6.317039	0.0	infeas	4.588302	0.0
483	infeas	6.603997	0.0	infeas	4.770274	0.0
484	infeas	7.667834	0.0	infeas	5.398180	0.0
485	infeas	5.660139	0.0	infeas	4.097378	0.0
486	infeas	7.641838	0.0	infeas	5.428174	0.0
487	infeas	5.437174	0.0	infeas	4.010391	0.0
488	infeas	5.855110	0.0	infeas	4.120373	0.0
489	infeas	6.297043	0.0	infeas	4.364336	0.0
490	infeas	7.895800	0.0	infeas	5.533159	0.0
